,u_0,accuracy,iteration,algo,grad,arg_min,value
0,"[4, 3]",0.1,481,true,"[-0.03809358655131706, 0.09127063581530369]",[2.99852661 2.00354275],0.00018959003445584476
1,"[4, 3]",0.001,857,true,"[-0.00038120013604005395, 0.0009202178383369841]",[2.99998518 2.00003578],1.9289420565334823e-08
2,"[4, 3]",1e-05,1234,true,"[-3.7942964756188552e-06, 9.160234201462267e-06]",[2.99999985 2.00000036],1.9114088962422255e-12
3,"[4, 3]",0.1,482,calc,"(-0.03817336984417818, 0.09146064068878154)",[2.99852342 2.00354995],0.00019036901584815048
4,"[4, 3]",0.001,859,calc,"(-0.0003822010473026233, 0.0009226338502125316)",[2.99998502 2.00003571],1.928352846750135e-08
5,"[4, 3]",1e-05,1237,calc,"(-3.8064698165121615e-06, 9.189623036979765e-06)",[2.99999973 2.00000019],2.2097322263519352e-12
